RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01
99930,98632,Longview,WA,Longview,Cowlitz,396,106
66834,21224,Baltimore,MD,Baltimore,Baltimore City,397,144
96690,92154,San Diego,CA,San Diego,San Diego,398,273
72617,33458,Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,399,191
76596,43229,Columbus,OH,Columbus,Franklin,400,85
73221,34787,Winter Garden,FL,Orlando,Orange,401,124
99251,97401,Eugene,OR,Eugene,Lane,402,183
71897,32246,Jacksonville,FL,Jacksonville,Duval,403,108
70513,29485,Summerville,SC,Charleston,Dorchester,404,107
72581,33414,Wellington,FL,Miami-Fort Lauderdale,Palm Beach,405,164
69489,27705,Durham,NC,Durham,Durham,406,127
87563,67401,Salina,KS,Salina,Saline,407,88
74214,37167,Smyrna,TN,Nashville,Rutherford,408,118
65031,17331,Hanover,PA,York,York,409,113
66758,21061,Glen Burnie,MD,Baltimore,Anne Arundel,410,190
97926,95014,Cupertino,CA,San Jose,Santa Clara,411,954
100157,99208,Spokane,WA,Spokane,Spokane,412,140
94921,85345,Peoria,AZ,Phoenix,Maricopa,413,120
98361,95670,Rancho Cordova,CA,Sacramento,Sacramento,414,199
96647,92105,San Diego,CA,San Diego,San Diego,415,341
77986,46143,Greenwood,IN,Indianapolis,Johnson,416,84
99961,98682,Vancouver,WA,Portland,Clark,417,177
84399,60148,Lombard,IL,Chicago,Du Page,418,174
77402,45013,Hamilton,OH,Cincinnati,Butler,419,93
71914,32303,Tallahassee,FL,Tallahassee,Leon,420,97
94843,85251,Scottsdale,AZ,Phoenix,Maricopa,421,186
65742,19067,Lower Makefield,PA,Philadelphia,Bucks,422,176
66666,20852,North Bethesda,MD,Washington,Montgomery,423,333
70846,30066,Marietta,GA,Atlanta,Cobb,424,119
65801,19134,Philadelphia,PA,Philadelphia,Philadelphia,425,48
93133,79924,El Paso,TX,El Paso,El Paso,426,68
70984,30253,McDonough,GA,Atlanta,Henry,427,77
84637,60637,Chicago,IL,Chicago,Cook,428,104
69773,28210,Charlotte,NC,Charlotte,Mecklenburg,429,156
74940,38655,Oxford,MS,Oxford,Lafayette,430,105
97545,94080,South San Francisco,CA,San Francisco,San Mateo,431,613
69778,28215,Charlotte,NC,Charlotte,Mecklenburg,432,85
90638,75035,Frisco,TX,Dallas-Fort Worth,Collin,433,134
88457,70072,Marrero,LA,New Orleans,Jefferson,434,95
94103,83301,Twin Falls,ID,Twin Falls,Twin Falls,435,91
92003,77521,Baytown,TX,Houston,Harris,436,83
72599,33433,Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,437,165
78467,47150,New Albany,IN,Louisville/Jefferson County,Floyd,438,86
95799,89103,Las Vegas,NV,Las Vegas,Clark,439,110
62453,12180,Troy,NY,Albany,Rensselaer,440,112
61628,10014,New York,NY,New York,New York,441,1941
96192,90640,Montebello,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,442,335
63414,14094,Town of Lockport,NY,Buffalo,Niagara,443,90
70105,28655,Morganton,NC,Hickory,Burke,444,78
92667,78758,Austin,TX,Austin,Travis,445,156
72353,33015,Country Club,FL,Miami-Fort Lauderdale,Miami-Dade,446,166
92668,78759,Austin,TX,Austin,Travis,447,198
69779,28216,Charlotte,NC,Charlotte,Mecklenburg,448,82
84241,59901,Kalispell,MT,Kalispell,Flathead,449,145
